Taxon,SpecName_Layer,Layer,Ellenberg_Light,Ellenberg_Temperature,Ellenberg_Moisture,Ellenberg_Soil_Reaction,Ellenberg_Nutrients,dist_freq,dist_sev,THE,THF,conserv_stat,alien,inv_status,THE_THF
Acer campestre,Acer campestre_7,0,5,6,5,7,6,-0.845,0.087,FALSE,FALSE,LC(NA),NA,NA,NA
Acer pseudoplatanus,Acer pseudoplatanus_7,0,4,5,6,6,7,-0.735,0.052,FALSE,FALSE,LC(NA),NA,NA,NA
Achillea millefolium agg.,Achillea millefolium agg._6,6,7,5,5,6,5,-0.247,0.47,NA,NA,NA,NA,NA,NA
Acinos arvensis,Acinos arvensis_6,6,9,7,2,7,2,-0.334,0.301,FALSE,FALSE,NA,NA,NA,NA
Adonis vernalis,Adonis vernalis_6,6,8,7,3,8,2,-0.333,0.227,NA,NA,VU,NA,NA,NA
Aegopodium podagraria,Aegopodium podagraria_6,6,6,5,6,7,8,-0.57,0.347,FALSE,FALSE,LC(NA),NA,NA,NA
Aesculus hippocastanum,Aesculus hippocastanum_7,0,4,6,5,6,7,NA,NA,NA,NA,LC(NA),neophyte,nat,NA
Agrimonia eupatoria,Agrimonia eupatoria_6,6,7,6,4,8,4,-0.404,0.274,NA,NA,LC(NA),NA,NA,NA
Agrostis capillaris,Agrostis capillaris_6,6,7,5,4,4,4,-0.37,0.361,FALSE,FALSE,LC(NA),NA,NA,NA
Agrostis stolonifera agg.,Agrostis stolonifera agg._6,6,7,5,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA
Ajuga chamaepitys ssp. chamaepitys,Ajuga chamaepitys ssp. chamaepitys_6,6,8,8,3,8,4,NA,NA,NA,NA,CR,archaeophyte,nat,NA
Ajuga genevensis,Ajuga genevensis_6,6,7,6,4,7,3,-0.567,0.201,FALSE,FALSE,LC(NA),NA,NA,NA
Ajuga reptans,Ajuga reptans_6,6,5,5,6,6,6,-0.552,0.199,FALSE,FALSE,LC(NA),NA,NA,NA
Allium flavum,Allium flavum_6,6,8,7,2,7,2,-0.666,0.247,FALSE,FALSE,NT,NA,NA,NA
Allium oleraceum,Allium oleraceum_6,6,6,6,4,7,4,-0.708,0.287,NA,NA,LC(NA),NA,NA,NA
Allium rotundum,Allium rotundum_6,6,7,7,4,8,4,NA,NA,NA,NA,NT,NA,NA,NA
Alyssum alyssoides,Alyssum alyssoides_6,6,9,6,3,8,3,-0.228,0.467,FALSE,FALSE,LC(NA),NA,NA,NA
Anagallis arvensis,Anagallis arvensis_6,6,7,6,5,7,6,0.416,0.978,FALSE,FALSE,LC(NA),archaeophyte,nat,NA
Anagallis foemina,Anagallis foemina_6,6,7,7,4,8,6,0.492,0.996,NA,NA,NT,archaeophyte,nat,NA
Anthericum ramosum,Anthericum ramosum_6,6,7,6,3,7,3,-0.559,0.156,FALSE,FALSE,LC,NA,NA,NA
Anthoxanthum odoratum,Anthoxanthum odoratum_6,6,7,5,5,4,4,NA,NA,FALSE,FALSE,LC(NA),NA,NA,NA
