Releve_number,Cover_abundance_scale,Date_yearmonthday,Syntaxon_code,Releve_area_m2,Altitude_m,Aspect_degrees,Slope_degrees,Cover_total_perc,Cover_tree_layer_perc,Cover_shrub_layer_perc,Cover_herb_layer_perc,Cover_moss_layer_perc,Height_high_tree_layer_m,Height_high_shrub_layer_m,Height_high_herb_layer_cm,Max_height_herb_layer_cm,Mosses_identified_yn,Lichens_identified_yn,Remarks,Coordinate_system,Syntaxon_MORAVEC,Resurvey,For_evy,Rs_project,Rs_site,Rs_plot,Rs_observ,Plot_shape,Manipulate,Maniptyp,Loc_method,Longitude,Latitude,deg_long,deg_lat,Precision,Locality,Ceba_grid,Field.nr,Habitat,Geology,Soil,Bias_gps,Oldtvnr,Photo_nr,Soil_ph,protected,site,ESY,ESY0
403498,1,NA,26AE,16,230,135,15,-1,0,0,100,5,0,0,0,0,Y,Y,Inulo (ensifoliae) - Caricetum humilis,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,1,1980,NA,NA,NA,NA,165827.86,490815.79,16.97440556,49.13771944,0,"Marefy - stráň, cca 1,2 km J od nádraží. (SPR Šévy).",NA,NA,NA,NA,NA,0,0,NA,0,Y,1,THE03,THE03
791263,2,20220514,NA,16,238,130,15,0,0,0,90,20,0,0,10,70,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,1,2022,square,N,NA,6,165826.8,490813.4,16.97411111,49.13705556,5,PR Šévy,NA,TKK001,"širokolistý trávník v dolní části svahu, pravděpodobně sečené",NA,hlinitá,5,403498,151551-151553,7.69,Y,1,THE03,THE03
502048,1,NA,27AA03,16,240,135,17,-1,0,0,100,5,0,0,0,0,Y,N,NA,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,2,1980,NA,NA,NA,NA,165829.11,490818.19,16.97475278,49.13838611,0,"Marefy (Středomoravské karpaty), stráň 1,2 km J od nádraží (SPR Šéfy)",NA,NA,NA,NA,NA,0,0,NA,0,Y,1,THH,THH
791264,2,20220514,NA,16,233,145,15,0,0,0,95,10,0,0,15,100,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,2,2022,square,N,NA,6,165824.7,490809.4,16.97352778,49.13594444,5,PR Šévy,NA,TKK002,širokolistý trávník s dominancí smldníku jeleního v dolní části svahu,NA,hlinitá,5,502048,162757-162834,7.61,Y,1,THE03,THH
403499,1,NA,26AE,16,230,180,23,-1,0,0,100,5,0,0,0,0,Y,Y,Inulo (ensifoliae) - Caricetum humilis,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,3,1980,NA,NA,NA,NA,165827.16,490814.45,16.97421111,49.13734722,0,"Marefy - stráň, cca 1,2 km J od nádraží. (SPR Šévy).",NA,NA,NA,NA,NA,0,0,NA,0,Y,1,THE03,THE03
791265,2,20220514,NA,16,235,145,20,0,0,0,95,10,0,0,15,50,N,N,NA,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,3,2022,square,N,NA,6,165823.4,490808.1,16.97316667,49.13558333,5,PR Šévy,NA,TKK003,širokolistý trávník v dolní části svahu,NA,hlinitá,5,403499,170836-172143,7.68,Y,1,THE03,THE03
403504,1,NA,26AE,16,220,270,20,-1,0,0,100,10,0,0,0,0,Y,Y,Inulo (ensifoliae) - Caricetum humilis,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,4,1980,NA,NA,NA,NA,165836.98,490810.15,16.97693889,49.13615278,0,"Marefy - stráňka, cca 1,3 km JJV od nádraží.",NA,NA,NA,NA,NA,0,0,NA,0,N,2,THE03,THE03
791266,2,20220515,NA,16,233,245,15,0,0,0,100,20,0,0,30,60,N,N,Asteraceae +,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,4,2022,square,N,NA,6,165836.6,490808.7,16.97683333,49.13575,5,"Marefy, stráňka na protějším svahu od PR Šévy",NA,TKK004,"zarůstající širokolistý trávník, nesečený, akumulovaná stařina, v okolí křoviny",NA,hlinitá,5,403504,0612-0617,7.79,N,2,THE,THE03
403503,1,NA,26AE,16,220,270,20,-1,0,0,98,25,0,0,0,0,Y,Y,Inulo (ensifoliae) - Caricetum humilis,NA,NA,Y,Y,SMoravia_basiphilous_grass,SMoravia,5,1980,NA,NA,NA,NA,165837.1,490811.5,16.97697222,49.13652778,0,"Marefy - stráňka, cca 1,3 km JJV od nádraží.",NA,NA,NA,NA,NA,0,0,NA,0,N,2,THE03,THE03
791267,2,20220515,NA,16,238,260,18,0,0,25,85,0,0,1.3,40,70,N,N,Asteraceae +,1,NA,Y,NA,SMoravia_basiphilous_grass,SMoravia,5,2022,square,N,NA,6,165836.6,490809.9,16.97683333,49.13608333,4,"Marefy, stráňka na protějším svahu od PR Šévy",NA,TKK005,"zarůstající širokolistý trávník, nesečený, akumulovaná stařina, listový opad (Fagus)",NA,hlinitá,4,403503,0618-0622,7.72,N,2,THE,THE03
